injector_w_id,producer_w_id,min_injection_hour,max_injection_hour,avg_injection_hour,stddev_injection_hour,min_injection_steam,max_injection_steam,avg_injection_steam,stddev_injection_steam,min_production_oil,max_production_oil,avg_production_oil,stddev_production_oil,min_sor,max_sor,avg_sor,stddev_sor
47,49,192,744,690.394958,96.55658028,6385.7,38772.6,25270.73017,6843.893448,2047.8,16964.8,8991.153448,3059.995267,0.832409942,9.115664811,3.118619089,1.344267955
50,51,30,744,668.8220339,135.7089414,20.9,36662.9,22140.40982,7377.00911,588.6,12272.8,6277.624107,2447.059428,0.003391206,18.9899686,4.248038952,2.858031769
52,54,81,744,679.1344538,122.1087265,214.9,39989.2,26871.35043,8690.25802,336.7,23193.2,10362.2513,3782.358596,0.018689557,38.02446317,3.325189555,3.728209656
55,57,30,744,651.060241,160.9619217,103.2,51732.8,25210.57895,10084.30495,3.2,14727.9,6708.410526,4122.507901,0.462365591,999.9111111,41.79401531,174.7307826
58,60,4,744,667.7183099,131.2570197,5353.6,51143.1,18914.78226,8652.471937,359.3,13484.5,5656.054839,2723.032228,0.606674599,59.1658781,6.010807,8.82715295
61,63,1,744,658.4929577,149.3170044,2081.5,36114.4,19923.68636,7939.730539,2.2,9297.6,4229.633333,2399.111153,2.393668321,11758.81818,185.0958785,1435.951462
64,66,2,744,661.5677966,141.405429,1.4,38267.8,23088.29474,9889.179081,122.5,24867.9,5844.668421,4430.270457,0.011428571,93.93737475,6.735398317,9.769907802
67,69,157,744,683.0608696,112.7699325,5545.3,48584.9,28876.34182,7712.017122,1789.1,16838.7,9434.659091,3699.442688,0.697634041,9.408053555,3.48943513,1.546258651
70,72,123,744,670.2268908,126.034999,1334.8,39212.1,24664.15826,8246.306335,1424.8,18756.8,10169.1513,3561.850998,0.117977727,22.27920487,2.965856117,2.870645547
73,75,155,744,688.9915966,109.5135233,2965,38503.3,26122.45133,7217.917843,182.5,17843.7,8275.458407,2967.427416,0.473589215,106.1035616,4.418014317,9.764397747
76,77,72,744,574.2727273,259.2774926,600.1,10615.3,4505.2,3241.142044,47.5,1889.3,1287.95,609.0527563,1.431853067,12.63368421,4.988527468,3.79254731
78,79,100,744,629,234.7683965,6729.6,15164.3,12444.91667,2859.518627,1032,3874.6,2593.2,978.0653633,3.913771744,6.520930233,5.161908757,0.977618717
81,82,184,744,629.2727273,211.0436405,7865.1,22540.7,17218.25,4865.516054,1138.3,3712.8,2899.4,862.7554832,5.343980697,7.446793749,6.066347157,0.812198814
83,84,184,744,671.3636364,163.8537596,11118.1,21440.8,18203.6,3465.002938,1735.3,5691.6,4506.216667,1347.497671,3.705776934,6.407018959,4.314778685,0.954615855
85,86,181,744,643.4545455,173.8530205,8589.5,16869.9,14286.71667,2852.93674,430.6,2616.8,1905.683333,780.6768631,6.20263053,19.94774733,9.380701998,4.885847722
87,88,183,744,666.6363636,164.151316,766,22151.5,14523.41667,6966.895845,108.9,5098.7,3072.933333,1657.796495,3.937394981,7.134406462,5.346418806,1.332863727
89,90,689,744,729.5,27.01234286,8552.4,13131.2,10841.8,2310.118974,1219.3,2892.6,2055.95,844.2216475,4.539583765,7.014188469,5.776886117,1.248499886
91,92,182,744,642.2727273,191.5442982,7563.2,18251.5,13814.17143,3525.213553,600.5,4718.9,2370.528571,1347.395181,3.867744601,12.59483764,7.520467255,3.264788809
93,94,375,744,662.6,161.0878642,5994.3,11927.7,9359.325,2230.130114,82.9,1744.4,920.2,600.8890105,6.837709241,72.30759952,25.12925801,27.41396952
95,96,182,744,659.0909091,170.4039052,5661.5,30133.1,23010.98571,8104.640359,428.2,4763.5,2659.185714,1350.055471,6.236044925,13.22162541,9.746161896,2.238499188
97,98,206,744,655.5454545,162.5296057,5065.2,11078.3,8557.8,2118.768499,1946.5,4145.8,2733.12,911.9576362,2.536912752,4.487798613,3.259461329,0.728157142
99,100,107,744,638.9090909,197.513774,1327.5,4642.4,3246.4,1244.185359,1760.2,4148.8,2882.28,977.2397951,0.754175662,1.259313486,1.106468713,0.184827367
101,102,98,744,660.5454545,191.1477772,4332.3,12714.1,9932.84,2979.470325,913.9,3429,2541.5,875.6521322,3.70781569,4.740453004,4.031995048,0.376146798
