@relation CHOPSWellDataDiscretized

@attribute CHOPS_UWI {100011404808W400,100012705103W400,100012805202W400,100020305203W400,100021604901W400,100021605103W400,100022304902W400,100022705103W400,100022705202W400,100023604806W400,100023605004W400,100031905006W400,100032705202W400,100033205206W400,100040905102W400,100041804901W400,100043405006W400,100043405202W400,100051204501W400,100051705103W400,100051804901W400,100052005003W400,100052605103W400,100053205003W400,100060204601W400,100060605102W400,100062704907W400,100062805202W400,100070305203W400,100071005103W400,100072205202W400,100073405202W400,100080205003W400,100081005103W400,100082705103W400,100082905205W400,100083305006W400,100090405102W400,100090504901W400,100092205103W400,100092904902W400,100093305002W400,100093605004W400,100101204501W400,100101805006W400,100102205202W400,100102805202W400,100103305002W400,100103305202W400,100111705103W400,100112105103W400,100112405007W400,100113105003W400,100113305002W400,100120405201W400,100122605103W400,100122705103W400,100122904902W400,100122904906W400,100132104906W400,100132305103W400,100132505004W400,100132605103W400,100140405102W400,100141205003W400,100142205103W400,100143305002W400,100143305202W400,100143405202W400,100150405102W400,100150605006W400,100151004901W400,100151204501W400,100151505202W400,100151605103W400,100152105103W400,100152405202W400,100162205103W400,100162205202W400,100162405202W400,100162505004W400,100163605003W400,100163605004W400,102022205202W400,102022404902W400,102022905003W400,102031605103W400,102050704807W400,102062405201W400,102071305007W400,102072805103W400,102082105103W400,102082805202W400,102083105003W400,102091705103W400,102092105103W400,102101705103W400,102111005103W400,102111705103W400,102111805006W400,102112405007W400,102113405202W400,102122904906W400,102131805006W400,102141204501W400,102141605103W400,102151305007W400,102152205103W400,102152805202W400,102160405102W400,102161305007W400,102162805202W400,102163605004W400,103032905003W400,103090405102W400,103092105103W400,103101305007W400,105061204808W400}
@attribute Object_ID numeric
@attribute PHIc numeric
@attribute KRc numeric
@attribute PHIR numeric
@attribute Vshc numeric
@attribute H numeric
@attribute Soc numeric
@attribute Pc numeric
@attribute Pp numeric
@attribute Pt numeric

@data
100011404808W400,53,1,1,3,2,1,2,1,1,1
100012705103W400,48,3,4,2,3,3,3,4,4,4
100012805202W400,98,2,2,2,3,2,3,2,2,2
100020305203W400,77,2,2,2,1,2,2,2,1,1
100021604901W400,52,2,3,3,1,2,2,1,1,1
100021605103W400,29,3,3,3,1,3,3,3,2,3
100022304902W400,54,1,2,1,1,1,1,3,3,4
100022705103W400,11,2,3,3,3,2,3,4,4,4
100022705202W400,37,3,3,3,4,3,3,4,3,4
100023604806W400,49,1,1,1,1,1,1,1,1,1
100023605004W400,105,1,1,2,1,1,1,2,1,1
100031905006W400,70,3,2,2,2,3,3,4,3,4
100032705202W400,85,3,3,2,4,3,3,3,3,3
100033205206W400,47,1,1,2,3,1,2,4,4,4
100040905102W400,28,4,4,4,3,4,4,4,4,4
100041804901W400,103,2,2,1,2,2,2,2,1,2
100043405006W400,40,2,2,1,3,2,2,4,4,4
100043405202W400,79,2,3,3,3,2,3,4,3,4
100051204501W400,101,2,2,1,2,2,2,1,1,1
100051705103W400,66,2,3,2,2,2,2,3,3,4
100051804901W400,55,1,1,1,1,1,2,3,2,3
100052005003W400,86,3,3,3,4,3,3,2,1,1
100052605103W400,8,2,3,2,4,3,3,3,3,3
100053205003W400,92,2,3,1,2,2,3,4,3,4
100060204601W400,51,3,2,2,2,3,3,1,1,1
100060605102W400,27,2,3,1,2,2,2,3,4,3
100062704907W400,6,1,1,1,2,1,1,1,1,1
100062805202W400,95,3,3,2,4,3,3,4,3,4
100070305203W400,100,3,4,2,4,3,3,3,3,3
100071005103W400,19,3,4,2,2,3,3,1,1,1
100072205202W400,75,4,4,2,4,4,4,3,3,3
100073405202W400,34,3,3,4,4,3,3,3,4,3
100080205003W400,106,1,2,1,1,1,1,1,1,1
100081005103W400,71,2,3,1,3,2,2,3,4,4
100082705103W400,62,3,3,1,4,3,3,4,4,4
100082905205W400,45,1,1,1,1,1,1,1,1,1
100083305006W400,114,2,2,1,2,2,2,4,4,4
100090405102W400,20,4,4,4,2,4,4,4,4,3
100090504901W400,4,2,2,3,2,2,2,1,1,1
100092205103W400,112,1,1,1,1,1,1,1,1,1
100092904902W400,56,3,3,2,3,3,3,4,3,4
100093305002W400,115,3,4,1,4,3,3,3,3,3
100093605004W400,16,1,1,3,2,1,2,2,1,2
100101204501W400,1,2,1,1,3,2,2,2,1,2
100101805006W400,17,3,4,4,3,3,4,3,3,4
100102205202W400,110,1,2,1,3,1,2,3,4,2
100102805202W400,97,2,1,3,2,2,2,1,1,1
100103305002W400,88,3,4,3,2,3,3,2,3,2
100103305202W400,65,2,2,2,4,2,2,4,3,4
100111705103W400,73,2,3,2,2,2,2,4,3,4
100112105103W400,33,2,3,1,2,2,2,1,2,1
100112405007W400,113,2,1,1,1,1,2,2,1,1
100113105003W400,117,1,1,1,1,1,1,1,1,1
100113305002W400,41,3,4,4,4,3,3,4,4,4
100120405201W400,46,4,4,4,3,4,4,3,4,2
100122605103W400,61,2,3,2,3,2,3,4,4,4
100122705103W400,12,2,4,2,3,2,3,4,3,4
100122904902W400,57,4,4,3,4,4,4,4,4,4
100122904906W400,118,2,2,1,3,2,2,1,1,1
100132104906W400,116,1,1,1,1,1,1,1,1,1
100132305103W400,42,3,3,2,3,3,3,4,4,4
100132505004W400,104,2,2,1,3,2,2,1,1,1
100132605103W400,10,1,2,1,3,1,2,2,2,2
100140405102W400,22,4,4,4,2,4,4,4,4,3
100141205003W400,9,4,4,3,4,4,3,3,1,3
100142205103W400,35,1,2,3,1,1,2,3,3,4
100143305002W400,89,3,4,2,3,3,3,2,2,2
100143305202W400,13,1,1,2,2,1,2,1,1,1
100143405202W400,108,2,2,1,3,1,2,4,3,4
100150405102W400,23,4,4,4,3,4,4,4,4,3
100150605006W400,15,1,1,3,2,1,2,3,3,2
100151004901W400,7,2,2,2,3,2,2,2,1,2
100151204501W400,3,2,2,3,3,2,2,1,1,1
100151505202W400,99,2,2,3,3,2,3,4,4,4
100151605103W400,64,3,4,2,3,3,3,3,4,3
100152105103W400,30,2,3,1,2,2,2,2,1,2
100152405202W400,82,1,1,1,1,1,1,3,4,3
100162205103W400,81,3,4,2,2,3,3,4,3,4
100162205202W400,111,2,3,2,2,2,2,3,3,3
100162405202W400,36,1,1,2,1,1,1,2,3,3
100162505004W400,107,1,1,1,1,1,2,1,1,1
100163605003W400,87,3,3,1,1,3,3,4,4,4
100163605004W400,58,2,3,2,3,2,3,1,1,1
102022205202W400,94,2,2,3,1,2,2,3,4,2
102022404902W400,50,3,3,2,1,3,3,3,2,3
102022905003W400,90,3,3,3,3,3,3,3,3,4
102031605103W400,76,2,3,3,2,2,2,3,3,3
102050704807W400,102,1,1,1,2,1,1,4,4,4
102062405201W400,14,3,3,3,4,3,3,4,4,4
102071305007W400,84,1,2,2,1,1,2,1,1,1
102072805103W400,60,2,3,2,2,2,2,1,3,1
102082105103W400,109,2,3,2,2,3,3,3,3,2
102082805202W400,96,2,2,2,3,2,3,2,3,2
102083105003W400,44,2,3,2,2,2,2,2,1,2
102091705103W400,67,1,2,2,1,1,1,3,2,3
102092105103W400,31,2,3,2,2,2,3,2,3,1
102101705103W400,72,3,3,3,3,3,3,3,3,4
102111005103W400,25,3,4,3,3,3,3,2,1,3
102111705103W400,74,2,3,2,2,2,2,1,1,1
102111805006W400,18,2,1,2,1,2,2,1,1,1
102112405007W400,83,3,3,2,1,3,3,1,1,1
102113405202W400,26,3,2,4,3,3,3,3,2,3
102122904906W400,93,1,1,2,1,1,1,2,1,1
102131805006W400,78,3,2,2,3,3,3,2,2,2
102141204501W400,2,1,1,1,2,1,2,2,2,2
102141605103W400,63,2,3,2,1,2,2,3,4,3
102151305007W400,39,2,2,3,2,2,3,1,1,1
102152205103W400,80,2,2,3,1,2,2,4,3,4
102152805202W400,68,3,3,3,3,2,3,3,3,3
102160405102W400,24,4,4,4,3,4,4,4,4,3
102161305007W400,43,3,3,4,1,3,3,2,3,2
102162805202W400,69,2,2,2,3,2,2,1,1,1
102163605004W400,59,2,2,2,3,2,3,1,1,1
103032905003W400,91,3,4,3,3,3,3,3,3,4
103090405102W400,21,4,4,4,3,4,4,4,4,3
103092105103W400,32,1,2,2,1,1,1,1,1,1
103101305007W400,38,2,2,3,1,2,2,1,1,2
105061204808W400,5,2,3,3,2,2,2,2,1,2
