@relation CHOPSWellDataOriginal

@attribute CHOPS_UWI {100011404808W400,100012705103W400,100012805202W400,100020305203W400,100021604901W400,100021605103W400,100022304902W400,100022705103W400,100022705202W400,100023604806W400,100023605004W400,100031905006W400,100032705202W400,100033205206W400,100040905102W400,100041804901W400,100043405006W400,100043405202W400,100051204501W400,100051705103W400,100051804901W400,100052005003W400,100052605103W400,100053205003W400,100060204601W400,100060605102W400,100062704907W400,100062805202W400,100070305203W400,100071005103W400,100072205202W400,100073405202W400,100080205003W400,100081005103W400,100082705103W400,100082905205W400,100083305006W400,100090405102W400,100090504901W400,100092205103W400,100092904902W400,100093305002W400,100093605004W400,100101204501W400,100101805006W400,100102205202W400,100102805202W400,100103305002W400,100103305202W400,100111705103W400,100112105103W400,100112405007W400,100113105003W400,100113305002W400,100120405201W400,100122605103W400,100122705103W400,100122904902W400,100122904906W400,100132104906W400,100132305103W400,100132505004W400,100132605103W400,100140405102W400,100141205003W400,100142205103W400,100143305002W400,100143305202W400,100143405202W400,100150405102W400,100150605006W400,100151004901W400,100151204501W400,100151505202W400,100151605103W400,100152105103W400,100152405202W400,100162205103W400,100162205202W400,100162405202W400,100162505004W400,100163605003W400,100163605004W400,102022205202W400,102022404902W400,102022905003W400,102031605103W400,102050704807W400,102062405201W400,102071305007W400,102072805103W400,102082105103W400,102082805202W400,102083105003W400,102091705103W400,102092105103W400,102101705103W400,102111005103W400,102111705103W400,102111805006W400,102112405007W400,102113405202W400,102122904906W400,102131805006W400,102141204501W400,102141605103W400,102151305007W400,102152205103W400,102152805202W400,102160405102W400,102161305007W400,102162805202W400,102163605004W400,103032905003W400,103090405102W400,103092105103W400,103101305007W400,105061204808W400}
@attribute Object_ID numeric
@attribute PHIc numeric
@attribute PHIR numeric
@attribute Vshc numeric
@attribute Soc numeric
@attribute KRc numeric
@attribute H numeric
@attribute Pc numeric
@attribute Pp numeric
@attribute Pt numeric

@data
100011404808W400,53,8.398741,96.235244,2.07181,21.257299,38.184908,29,0,3.131025,0
100012705103W400,48,17.433315,94.379754,4.080026,43.566174,142.701068,59,793.42,21.314114,64
100012805202W400,98,15.085447,90.726646,3.943412,38.566852,80.593115,48,92.06,7.159461,8
100020305203W400,77,12.780716,84.060419,1.52034,27.7521,88.325432,40,107.58,4.313461,0
100021604901W400,52,12.272642,101.94667,1.856041,30.889006,107.664454,40,18.33,6.389804,5
100021605103W400,29,20.917773,111.466852,1.402919,43.377807,128.311446,65,194.89,8.286773,27
100022304902W400,54,8.902609,56.090807,1.689578,20.324115,75.085959,30,411.14,8.91004,66
100022705103W400,11,14.577442,108.851586,3.485377,38.010269,98.813113,51,1302.58,19.948567,102
100022705202W400,37,17.244496,119.923913,4.982298,45.009804,124.076833,56,551.26,13.07229,55
100023604806W400,49,1.116004,12.786376,0.528508,2.832441,7.467488,4,0,2.15411,0
100023605004W400,105,7.595665,71.604697,0.9529,19.105779,55.619961,26,46.04,6.311299,5
100031905006W400,70,17.966741,65.977117,2.675831,40.711353,86.605682,61,552.17,8.353028,80
100032705202W400,85,17.588081,93.867854,4.40882,44.717002,117.936789,56,445.59,13.638431,50
100033205206W400,47,9.215092,79.645739,3.670964,24.143292,54.722367,34,582.21,14.339505,70
100040905102W400,28,24.867483,201.29631,3.361966,58.016088,135.214107,80,635.51,24.182937,70
100041804901W400,103,12.99764,30.822066,2.388896,33.05326,77.920833,49,129.25,5.27367,22
100043405006W400,40,11.336417,41.844618,3.256702,26.022116,89.077523,40,790.43,17.094923,70
100043405202W400,79,14.20111,107.001414,4.108097,35.643178,98.621016,45,550.58,13.427673,55
100051204501W400,101,11.543456,40.841202,2.94876,26.98781,63.668308,41,10.5,3.597734,0
100051705103W400,66,12.685486,74.554964,2.096426,25.446427,96.414421,42,421.57,14.204973,58
